a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42
o,o,x,o,b,b,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b
x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,x,o,o,b,b,b,b,b,b,b,b
o,b,b,b,b,b,x,o,x,o,x,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b
o,b,b,b,b,b,o,x,x,o,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b
x,x,o,x,x,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,b
x,b,b,b,b,b,x,o,b,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,x,x,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,o,o,b,b,b,b
b,b,b,b,b,b,x,x,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b
o,x,o,x,o,b,x,b,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
x,x,o,b,b,b,x,b,b,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,o,x,o,x,o,b
b,b,b,b,b,b,x,b,b,b,b,b,o,o,x,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,o,b,b,b
b,b,b,b,b,b,x,x,o,x,o,b,b,b,b,b,b,b,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
x,b,b,b,b,b,b,b,b,b,b,b,x,x,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,x,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,o,o,b,b,b,b
x,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b,o,o,x,x,b,b
b,b,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,x,o,x,x,b,b,b,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b
x,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,b,b,b,b,o,o,x,b,b,b,b,b,b,b,b,b
x,x,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b
b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,o,x,x,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,o,b,b,b,b,b,x,o,b,b,b,b
b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,o,x,o,o,b,b,x,x,b,b,b,b
o,x,o,o,x,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b
x,b,b,b,b,b,b,b,b,b,b,b,o,x,o,o,b,b,x,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b
o,o,b,b,b,b,x,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,x,b,b,b,b,b,b,b,b,b
o,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b
b,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,o,o,x,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b
x,b,b,b,b,b,o,x,x,x,o,b,b,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
o,b,b,b,b,b,o,o,x,x,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b
o,o,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b
x,o,o,b,b,b,b,b,b,b,b,b,x,x,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b
x,o,o,b,b,b,o,b,b,b,b,b,o,x,b,b,b,b,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
o,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,o,b
x,o,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,b,b,b
x,x,o,o,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,x,o,b,b,b
x,b,b,b,b,b,x,o,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,o,b,b,b
x,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,o,b
b,b,b,b,b,b,b,b,b,b,b,b,o,x,o,o,b,b,x,x,o,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b
o,x,o,b,b,b,b,b,b,b,b,b,x,o,x,x,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
x,o,o,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b
x,o,o,b,b,b,b,b,b,b,b,b,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b
o,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,x,o,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,b,b,b,b
b,b,b,b,b,b,x,o,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,x,o,x,b,b
b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,x,o,x,b,b,x,b,b,b,b,b,o,o,b,b,b,b,b,b,b,b,b,b
o,x,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,o,o,b,b,b,b,x,x,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,x,x,o,o,b
b,b,b,b,b,b,x,o,b,b,b,b,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,x,b,b,b,b,b
b,b,b,b,b,b,x,b,b,b,b,b,x,o,o,b,b,b,o,b,b,b,b,b,o,x,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
x,x,o,b,b,b,x,b,b,b,b,b,o,o,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b
x,b,b,b,b,b,o,x,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,o,x,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,x,x,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b
x,x,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,o,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,o,x,x,o,b,b,b,b,b,b,b,b,o,x,o,b,b,b
x,x,b,b,b,b,o,o,b,b,b,b,x,o,o,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
